"";"pred";"obs"
"1";0,125219881534576;0,061032738
"2";0,380619585514069;0,268454563
"3";0,227020338177681;0,501649478
"4";0,308160543441772;0,289691589
"5";0,66613644361496;0,52577309
"6";0,147551164031029;0,084331611
"7";0,40231716632843;0,305567812
"8";0,485485196113586;0,395876718
"9";0,286784291267395;0,42701061
"10";0,523542106151581;0,413196234
"11";0,285917162895203;0,181032243
"12";0,36969405412674;0,387629329
"13";0,309660255908966;0,281238016
"14";0,316273301839828;0,258351512
"15";0,199978187680244;0,106393376
"16";0,547445952892303;0,458556872
"17";0,416421085596085;0,496907229
"18";0,601243615150452;0,575875976
"19";0,256378680467606;0,360825316
"20";0,412233680486679;0,391753024
"21";0,476086109876633;0,488453656
"22";0,144525110721588;0,153403491
"23";0,37496417760849;0,273196812
"24";0,54609227180481;0,411752941
"25";0,231439337134361;0,329897609
"26";0,244367867708206;0,216083645
"27";0,22738091647625;0,127218032
"28";0,107224397361279;0,183918829
"29";0,345536589622498;0,452577515
"30";0,274389028549194;0,292165806
"31";0,579472482204437;0,672782793
"32";0,418674468994141;0,248454646
"33";0,310130536556244;0,290928697
"34";0,31982097029686;0,242887658
"35";0,249859824776649;0,320619296
"36";0,171273037791252;0,123712892
"37";0,190370887517929;0,146599395
"38";0,273788899183273;0,284536971
"39";0,373822957277298;0,466804261
"40";0,61085307598114;0,999997938
"41";0,233272209763527;0,162887988
"42";0,59117317199707;0,410103463
"43";0,352476060390472;0,269485487
"44";0,646564722061157;0,448660006
"45";0,398816913366318;0,690720863
"46";0,533616423606873;0,624535569
"47";0,338535279035568;0,238351594
"48";0,324604451656342;0,268454563
"49";0,156433433294296;0,189485817
"50";0,324915111064911;0,273609181
"51";0,305593281984329;0,368660335
"52";0,49250203371048;0,562680154
"53";0,435961216688156;0,479175344
"54";0,333244472742081;0,315052309
"55";0,232677385210991;0,210516658
"56";0,690362989902496;0,819792496
"57";0,133412763476372;0,104331529
"58";0,242590621113777;0,27092878
"59";0,210830762982368;0,250722677
"60";0,339268267154694;0,244743321
"61";0,248479589819908;0,277114321
"62";0,75188285112381;0,559587383
"63";0,455802023410797;0,434639445
"64";0,926014006137848;1
"65";0,480273336172104;0,317938895
"66";0,411063402891159;0,456495025
"67";0,542995572090149;0,539175096
"68";0,307947367429733;0,342062507
"69";0,996892273426056;1
"70";0,351739227771759;0,275671028
"71";0,269633084535599;0,295464761
"72";0,382845878601074;0,304124519
"73";0,415803372859955;0,434227075
"74";0,196033388376236;0,175259071
"75";0,157971024513245;0,069486311
"76";0,585072576999664;0,472577433
"77";0,599993824958801;0,67484464
"78";0,262728601694107;0,211547581
"79";0,384760588407516;0,322474959
"80";0,269434809684753;0,218764046
"81";0,557713389396667;0,616081996
"82";0,201259136199951;0,25257834
